Date_Time,Open,High,Low,Close
2009-07-17 10:00:00,6980.0,7058.0,6975.05,7045.0
2009-07-17 11:00:00,7045.0,7133.0,7039.95,7104.0
2009-07-17 12:00:00,7101.2,7185.2,7091.2,7165.05
2009-07-17 13:00:00,7165.05,7237.0,7150.05,7214.95
2009-07-17 14:00:00,7214.95,7245.0,7184.0,7196.9
2009-07-17 15:00:00,7196.9,7256.0,7187.0,7241.0
2009-07-20 10:00:00,7267.0,7287.9,7230.0,7265.0
2009-07-20 11:00:00,7270.0,7310.0,7241.1,7300.0
2009-07-20 12:00:00,7300.0,7417.65,7298.05,7416.7
2009-07-20 13:00:00,7417.0,7492.6,7414.5,7470.05
2009-07-20 14:00:00,7470.05,7557.0,7455.0,7528.7
2009-07-20 15:00:00,7528.7,7558.0,7528.0,7557.0
2009-07-21 10:00:00,7485.5,7486.0,7415.0,7483.8
2009-07-21 11:00:00,7482.95,7516.95,7451.0,7481.05
2009-07-21 12:00:00,7483.0,7483.0,7388.2,7431.0
2009-07-21 13:00:00,7431.0,7517.2,7427.0,7517.2
2009-07-21 14:00:00,7516.1,7516.15,7396.0,7437.1
2009-07-21 15:00:00,7437.1,7464.0,7416.0,7446.05
2009-07-22 10:00:00,7493.7,7545.0,7487.0,7544.5
2009-07-22 11:00:00,7542.5,7615.0,7542.5,7580.0
2009-07-22 12:00:00,7585.0,7596.0,7410.1,7410.1
2009-07-22 13:00:00,7410.0,7430.1,7327.0,7332.5
2009-07-22 14:00:00,7335.0,7379.0,7301.5,7315.0
2009-07-22 15:00:00,7310.0,7385.0,7282.5,7375.0
2009-07-23 10:00:00,7451.0,7529.9,7451.0,7484.25
2009-07-23 11:00:00,7484.25,7505.0,7416.0,7460.1
2009-07-23 12:00:00,7460.0,7475.0,7380.5,7399.8
2009-07-23 13:00:00,7399.8,7450.0,7388.5,7407.5
2009-07-23 14:00:00,7407.5,7509.95,7399.0,7496.65
2009-07-23 15:00:00,7496.65,7511.8,7463.0,7470.0
2009-07-24 10:00:00,7485.0,7500.0,7412.2,7430.0
2009-07-24 11:00:00,7430.0,7448.95,7345.0,7380.4
2009-07-24 12:00:00,7377.3,7434.0,7350.5,7401.4
2009-07-24 13:00:00,7401.4,7473.0,7398.0,7449.95
2009-07-24 14:00:00,7449.95,7450.0,7383.0,7390.0
2009-07-24 15:00:00,7390.0,7424.0,7385.1,7414.0
2009-07-27 10:00:00,7480.0,7480.0,7412.0,7465.0
2009-07-27 11:00:00,7455.0,7486.95,7400.1,7428.8
2009-07-27 12:00:00,7428.8,7443.0,7360.0,7362.0
2009-07-27 13:00:00,7362.0,7432.5,7350.0,7396.5
2009-07-27 14:00:00,7396.5,7435.0,7360.0,7422.7
2009-07-27 15:00:00,7423.9,7435.0,7394.15,7410.0
2009-07-28 10:00:00,7375.0,7385.0,7290.5,7300.0
2009-07-28 11:00:00,7300.0,7374.0,7282.5,7310.0
2009-07-28 12:00:00,7310.0,7329.0,7270.0,7297.1
2009-07-28 13:00:00,7297.1,7375.5,7280.0,7350.0
2009-07-28 14:00:00,7350.0,7365.0,7291.1,7304.3
2009-07-28 15:00:00,7307.5,7340.0,7305.0,7314.45
2009-07-29 10:00:00,7268.0,7298.0,7230.0,7275.0
2009-07-29 11:00:00,7274.95,7297.9,7160.0,7185.0
2009-07-29 12:00:00,7187.0,7198.2,7090.0,7142.55
2009-07-29 13:00:00,7142.55,7247.0,7142.55,7215.0
